,Username,Posts per Day,Posts per Week,Posts per Month,Total Posts,Engagement Rate,Total Followers,Average User Activity,Influncer_bio
25,@moustfakhater,0.07,0.49,2.09,1.8k,0.55%,8.7m,36.66%,Bio Egyptian actorInstagram Handle  @moustfakhaterInstagram Followers  8.6M Get Email Contact
26,@amgadfaried,,,,,,,,Bio Owner @amgadfariedphotographyاتعلم تصوير هنا 👇@personphotographereye #انسان_بعين_مصور ****@gmail.com📸🦷👨‍💻🦞♦️🎻🎬☕️🍮🥝🍌🥕🍕🍤🍔𓄈𓎼𓎙Instagram Handle  @amgadfariedInstagram Followers  191.5K Get Email Contact
27,@eslamegyptian,0.03,0.23,1.00,359,0.78%,782,11.11%,"Bio Dreamer 💭 Passionate about books, movies, music, football 🥰 Master's Degree in Marketing & Sales @romebusinessschool 🎓 News Editor @thndrapp⚡️🇪🇬🇸🇦Instagram Handle  @eslamegyptianInstagram Followers  792 Get Email Contact"
28,@mikooog,0.01,0.04,0.17,898,1.62%,2.3k,23.14%,Bio Architect | Beard Model | Marketing Consultant | Brand Ambassador ❤️🔒Founder @ingenious.dsBrand Ambassador @popl CAI-DXB-TXLInstagram Handle  @mikooogInstagram Followers  2.3K Get Email Contact
29,@lailaazaherr11,0.09,0.62,2.67,559,3.45%,5.5m,115.07%,Bio Egyptian Actress | ممثلة مصرية Blissful♡Instagram Handle  @lailaazaherr11Instagram Followers  5.2M Get Email Contact
30,@salma_abdelazeem66,0.23,1.58,6.79,700,3.25%,3.3m,108.31%,Bio •physiotherapist•Fashion Blogger •Influencer•for business inquiries▶️ ****@gmail.comInstagram Handle  @salma_abdelazeem66Instagram Followers  2.9M Get Email Contact
31,@mariamseiif,0.02,0.13,0.55,852,5.07%,3.2m,169.14%,Bio 🐎 king 🐎 Cars Lover 🚘 Founder of @ridesbymariam 𝘽𝙖𝙗𝙮 𝙂𝙞𝙧𝙡🧜‍♀️ @itsyour_romy certified therapy by : @macrogroupeg 𝙏𝙧𝙖𝙫𝙚𝙡𝙚𝙧.. 𝙇𝙞𝙛𝙚 𝙎𝙩𝙮𝙡𝙚 𝙗𝙡𝙤𝙜𝙜𝙚𝙧🌸Instagram Handle  @mariamseiifInstagram Followers  3M Get Email Contact
32,@arwakassem129,0.04,0.28,1.22,577,3.72%,2.9m,124.01%,Bio Official Instagram Account Of The Actress Arwa KassemFor Business inquiries : @arwa_kassem12 Certified By : @jakoblambazInstagram Handle  @arwakassem129Instagram Followers  2.7M Get Email Contact
33,@hagerahmed_official,0.01,0.09,0.39,552,2.88%,4.1m,100.00%,Bio “I can never give up I always give my all”mum & wife “Egyptian actress”Instagram Handle  @hagerahmed_officialInstagram Followers  4M Get Email Contact
34,@shehab.eldin14,0.07,0.46,1.97,75,1.17%,2.7m,77.76%,Bio eltmsa7🐊🐊Fashion model✌️Instagram Handle  @shehab.eldin14Instagram Followers  2.7M Get Email Contact
35,@3enaabb,0.05,0.32,1.38,38,4.20%,2.8m,140.09%,Bio 🍇Instagram Handle  @3enaabbInstagram Followers  2.6M Get Email Contact
36,@carolinekamalazmy,0.07,0.47,2.02,156,3.87%,3.2m,129.05%,Bio Management @wefirenationInstagram Handle  @carolinekamalazmyInstagram Followers  3.1M Get Email Contact
37,@nairaakamal,0.09,0.61,2.61,297,4.25%,3.4m,141.79%,Bio • my official account of Instagram• Egyptian actress and bloggerInstagram Handle  @nairaakamalInstagram Followers  3.3M Get Email Contact
38,@menna_el_sonny,0.40,2.80,12.00,3.1k,2.36%,4.7m,100.00%,Bio Egyptian 🇪🇬 Influencer - Traveler Founder @mennaelsonnystore For business inquiries 📩: ****@hotmail.comInstagram Handle  @menna_el_sonnyInstagram Followers  4M Get Email Contact
39,@hasawy_officiall,0.02,0.16,0.68,231,333.73%,170k,11124.17%,Bio hasawy🇪🇬🎱🔥 for business inquiries ****@gmail.comInstagram Handle  @hasawy_officiallInstagram Followers  158K Get Email Contact
40,@aml.samirr,0.02,0.17,0.75,775,2.20%,4.9m,100.00%,Bio A Woman With A Big Dream💫▪️ACTRESS l YOUTUBER l INFLUENCER🎬💎 @haleem_official 💙🕊💎 Mini Me @ella_haleem  👩🏻‍🍼✨▪️ Business Inquiries : DM&Gmail📩Instagram Handle  @aml.samirrInstagram Followers  4.5M Get Email Contact
41,@rehamayman,0.14,0.95,4.09,1.4k,0.39%,3.4m,26.00%,Bio Egyptian ActressInstagram Handle  @rehamaymanInstagram Followers  3.4M Get Email Contact
42,@ayselkhaledofficial,0.31,2.15,9.23,1.3k,1.50%,3.4m,100.00%,Bio 🎀founder: @Ayselhood 🤱 💎Miss Egypt2016/17👑🎀 kids @taliaahmedassi🦄@youssefahmedassi🐬💎Wife& Mummy👨‍👩‍👧‍👦🎀beauty pageants jury🔮💎Fashion & lifestyle💫Instagram Handle  @ayselkhaledofficialInstagram Followers  3.4M Get Email Contact
43,@nadia.elkholy,0.03,0.19,0.80,2.6k,5.49%,3.8m,182.86%,Bio • 𝙻𝙸𝙵𝙴 𝚂𝚃𝚈𝙻𝙴 𝙱𝙻𝙾𝙶𝙶𝙴𝚁 • 𝚃𝚁𝙰𝚅𝙴𝙻’ 🌍• 𝙾𝚆𝙽𝙴𝚁 @f.n_atelier 👗 Mrs @reda_mahmoud90 🌍👫💌𝙵𝙾𝚁 𝙱𝚄𝚂𝙸𝙽𝙴𝚂𝚂 𝙸𝙽𝚀𝚄𝙸𝚁𝙸𝙴𝚂 𝙳𝙼 𝙼𝙴 📩•الحب كله دُفن مع ( أبي )🤍🕊Instagram Handle  @nadia.elkholyInstagram Followers  3.4M Get Email Contact
44,@dareen_haddad,0.03,0.23,0.98,551,0.15%,3.4m,10.17%,Bio 🇹🇳🇪🇬🇦🇪Instagram Handle  @dareen_haddadInstagram Followers  3.4M Get Email Contact
45,@shereenredaofficial,0.32,2.21,9.47,546,0.18%,3.5m,11.80%,Bio Facebook: ShereenRedaOfficialTwitter: SheereenReda🐕🐈🐓🦢🦆🐥🦜🦉🐇🐎🦓🐄🐏 🐗🐴🐝🦋🐌🐞🐜🐢🐙🦑🦀🐠🐋🦈🐊🐅🐆🦍🐘🦛🦏🐪🐫🦒🦘🐃🐂🐖🐁🐿🦔Instagram Handle  @shereenredaofficialInstagram Followers  3.5M Get Email Contact
46,@sabamubarak,0.31,2.15,9.23,1.2k,0.15%,4.6m,10.02%,"Bio Actress, ProducerTwitter @sabamubarak @UNHCR_Arabic                                                  https://www.youtube.com/watchv=uPqkM6HzMSM&t=2sInstagram Handle  @sabamubarakInstagram Followers  4.6M Get Email Contact"
47,@big_ramy,0.19,1.33,5.71,2.3k,0.67%,5.3m,44.70%,Bio Athlete @kosquadegypt  team @redrexbrand @smilodox @schieksportsinc @protan_official @panattaofficial @lowcaloriesae email: ****@gmail.comInstagram Handle  @big_ramyInstagram Followers  4.9M Get Email Contact
48,@hanadymehanna,0.05,0.36,1.53,489,1.19%,6m,79.38%,Bio French 🇫🇷 - Egyptian 🇪🇬Instagram Handle  @hanadymehannaInstagram Followers  5.9M Get Email Contact
49,@mohamedanwar71,0.07,0.49,2.11,719,0.75%,6.5m,49.91%,Bio Egyptian ActorInstagram Handle  @mohamedanwar71Instagram Followers  6.4M Get Email Contact
50,@zenap_mohamed,0.02,0.13,0.58,75,0.99%,4.8m,66.10%,Bio - Youtuber +9M Subscribers - My Husband : @ahmedhas0san - My Kids : @aileenhas0san @ianhas0san - For Ads : ****@gmail.comInstagram Handle  @zenap_mohamedInstagram Followers  5M Get Email Contact
51,@mayanelsayed,0.12,0.83,3.56,859,2.35%,5.4m,100.00%,Bio Management @madrisingcelebrityInstagram Handle  @mayanelsayedInstagram Followers  5.2M Get Email Contact
52,@maiselim,0.39,2.71,11.61,1.8k,0.05%,5.3m,3.64%,Bio Singer and ActressInstagram Handle  @maiselimInstagram Followers  5.3M Get Email Contact
53,@karimfahmiofficial,0.13,0.88,3.79,1.2k,0.61%,5.9m,40.96%,Bio ScriptwriterInstagram Handle  @karimfahmiofficialInstagram Followers  5.8M Get Email Contact
54,@rihamhagag,0.31,2.15,9.23,636,0.06%,7m,3.88%,Bio 🇪🇬 ActressInstagram Handle  @rihamhagagInstagram Followers  5.8M Get Email Contact
55,@ashrafabdilbaky,0.12,0.85,3.64,1.1k,0.32%,6.3m,21.14%,Bio أشرف عبد الباقيFounder:@workshopegypt@tante.egInstagram Handle  @ashrafabdilbakyInstagram Followers  6.2M Get Email Contact
56,@hamadahelaleg,0.04,0.27,1.17,1.2k,0.84%,6.6m,55.99%,Bio اسمع اغنية متحملاني من هنا👇Instagram Handle  @hamadahelalegInstagram Followers  6.4M Get Email Contact
57,@shimaaseif,0.09,0.62,2.67,2.8k,0.40%,6.8m,26.99%,Bio الضحكة بالضحكة والبادئ اجمل 😊ملحوظة كل الصور معدلة بالفوتوشوب من أجل ذكريات سعيدة 👌🙊👸Instagram Handle  @shimaaseifInstagram Followers  6.8M Get Email Contact
58,@mirhanhusseinmima,0.38,2.62,11.25,3.1k,0.42%,7.1m,28.32%,Bio https://youtu.be/295zQ5G-JYwInstagram Handle  @mirhanhusseinmimaInstagram Followers  7M Get Email Contact
59,@ramysabry8,1.00,7.00,30.00,2.1k,1.73%,7.8m,100.00%,Bio Singer & Composer•Universal Music MENA award•Best middle eastern artist by Middle East music awardbooking****@gmail.com ملك الفرفشةInstagram Handle  @ramysabry8Instagram Followers  7M Get Email Contact
60,@osossssssss,0.07,0.46,1.97,1.6k,0.27%,7.9m,18.08%,Bio Egyptian actorInstagram Handle  @osossssssssInstagram Followers  7.8M Get Email Contact
61,@aliirabee1989,0.13,0.88,3.79,1.3k,0.19%,8.8m,12.99%,Bio ActorInstagram Handle  @aliirabee1989Instagram Followers  8.7M Get Email Contact
62,@ramadansobhi51,0.06,0.44,1.89,687,0.28%,10.2m,18.50%,Instagram Handle  @ramadansobhi51Instagram Followers  9.6M Get Email Contact
63,@kindaalloush,0.02,0.17,0.73,959,0.37%,10.8m,24.65%,Bio Syrian Actress based in Cairo@unhcr_arabic High Profile SupporterWife & Mother of Hayat & Karim❤️Business enquiries:****@madcelebrity.comInstagram Handle  @kindaalloushInstagram Followers  10.8M Get Email Contact
64,@assala_official,0.02,0.17,0.73,959,0.37%,10.8m,24.65%,Bio A Syrian musical artist. 📬 ****@brandstamp.media استمعوا الي جديدي #شبيه_روحي 👇🏻Instagram Handle  @assala_officialInstagram Followers  11.7M Get Email Contact
65,@mohamedemam,,,,,,,,Bio Filmmaking 🎥Instagram Handle  @mohamedemamInstagram Followers  12M Get Email Contact
66,@heba_magdi,0.01,0.08,0.34,1.6k,0.64%,12.9m,42.93%,Bio Egyptian Actress and SingerInstagram Handle  @heba_magdiInstagram Followers  12.6M Get Email Contact
67,@aytenamer,0.03,0.19,0.84,2.3k,0.10%,12.9m,6.61%,Bio Egyptian actress / singerInstagram Handle  @aytenamerInstagram Followers  12.8M Get Email Contact
68,@donia.samir.ghanem,0.10,0.69,2.98,1.6k,0.50%,15.1m,33.23%,"Bio Actress, singer, good will ambassador to Unicef Egypt & mother of Kayla Ramy Radwan... proud to be Samir Ghanem & Dalal Abd El Aziz daughter ❤️🙏Instagram Handle  @donia.samir.ghanemInstagram Followers  15M Get Email Contact"
69,@dalyadarwish,0.02,0.13,0.56,879,2.80%,13.8k,56.02%,"Bio Fittest woman in Egypt 2015, 2016,2018 & 2020National Champion 🇪🇬 @stark.fitness @asn.egypt get 10% off ASNXDALYA  👇🏽Instagram Handle  @dalyadarwishInstagram Followers  14.1K Get Email Contact"
70,@helmyelsaeed,0.01,0.04,0.16,529,2.63%,11.5k,52.51%,Bio Guinness World Record HolderHuman powered cross continental crossings for charity Environment | Biodiversity | ClimateInstagram Handle  @helmyelsaeedInstagram Followers  11.6K Get Email Contact
71,@yasmineghaith,0.14,0.97,4.14,169,0.54%,154.6k,35.74%,Bio Survivor.Instagram Handle  @yasmineghaithInstagram Followers  156.1K Get Email Contact
72,@satisfashionbysn,,,,,,,,Bio CAIRO / DUBAIThe Diaries of a Hip Mom!✨@satisfashioncollectionInstagram Handle  @satisfashionbysnInstagram Followers  347.3K Get Email Contact
73,@nourhanneeisa,0.02,0.13,0.55,954,0.86%,806.8k,57.59%,Bio 🇪🇬🇱🇧CAI/DXBChasing sunsets 🕊Mother of @nesscommunications & @iamanotso #NourhanneVisits 🌍Instagram Handle  @nourhanneeisaInstagram Followers  811.8K Get Email Contact
74,@asma.abulyazeid,,,,,,,,Bio Egyptian ActressInstagram Handle  @asma.abulyazeidInstagram Followers  2.1M Get Email Contact
75,@saharfoad,0.32,2.27,9.73,3.1k,0.32%,931.4k,21.17%,Bio I aim for the stars🌟I walk through fire🔥like a phoenix I rise ☄️Engineer 👩‍💻 📧 | ****@me.com#SaharFoad@laila.abohashima 👸🏼 @jamila.abohashimaInstagram Handle  @saharfoadInstagram Followers  926.5K Get Email Contact
76,@mohamed.farag,0.41,2.90,12.41,407,4.52%,4.1m,150.51%,"Bio الحمدلله  Founder @viral.advertising Blogger, Traveler, Entrepreneur, Athlete.Instagram Handle  @mohamed.faragInstagram Followers  4M Get Email Contact"
77,@maiibraahim,,,,,,,,Bio 📍🇦🇪Founder of |  @bohozbymi Managed by | @socialit_eg Host @nrjegypt @abudhabitv 📻 📧 ****@gmail.comInstagram Handle  @maiibraahimInstagram Followers  3.7M Get Email Contact
78,@hudaelmufti,,,,,,,,Bio MGMT @mad_solutionsInstagram Handle  @hudaelmuftiInstagram Followers  3.2M Get Email Contact
79,@sally_fou2ad,0.04,0.27,1.16,5.6k,0.10%,2.4m,6.34%,Bio dream..wish..createCertified Nutritionist from GermanyAuthor of 4 booksInstagram Handle  @sally_fou2adInstagram Followers  2.4M Get Email Contact
80,@hessinelkadyy,0.01,0.05,0.20,131,5.29%,263k,176.29%,Bio Syrian living in Egypt🇸🇾  Video blogger | influencer | MenstylesInstagram Handle  @hessinelkadyyInstagram Followers  266.6K Get Email Contact
81,@marianghobreialmakeup,0.03,0.21,0.89,1.3k,3.53%,353.5k,117.76%,Bio Dentist 🦷 Makeup artist 💄Beauty vlogger 📹Egypt📍🇪🇬Instagram Handle  @marianghobreialmakeupInstagram Followers  286.5K Get Email Contact
82,@ramadan.hosnii,0.02,0.12,0.53,84,2.42%,287.8k,100.00%,Bio Chairman @emtelakeg 🏡Chairman @rhmediaproductionsInstagram Handle  @ramadan.hosniiInstagram Followers  299.4K Get Email Contact
83,@qaty_photography,0.80,5.60,24.00,469,2.20%,372.5k,100.00%,Bio My 👰🏻‍♀️ 🤍 @mera__ph .01003209839All rights reserved © 2021📍Mansoura 📍Damietta 📍 Cairo@joy.location  @evadamdressesegypt.Instagram Handle  @qaty_photographyInstagram Followers  299K Get Email Contact
84,@ramysoli,0.21,1.47,6.32,1.8k,2.33%,346.5k,100.00%,Bio 🍔A full-time foodie with a goal to make you drool👨🏻‍🎨Trays📸Original Content📐Former Architect😋HumYaGamal✊🏻#Arabites✉️Collab:****@live.comInstagram Handle  @ramysoliInstagram Followers  313K Get Email Contact
85,@fl.ex.20,0.04,0.26,1.11,44,11.82%,354.6k,393.99%,Bio @mtownmafiaMSH BASTANA ft. HUSAYN & WINGII OUT NOWInstagram Handle  @fl.ex.20Instagram Followers  331.7K Get Email Contact
86,@farahmagdykhalifa,,,,,,,,Bio ‎فرح مجدي خليفةWelcome to my🌍Owner & founder of @plums.egInstagram Handle  @farahmagdykhalifaInstagram Followers  327K Get Email Contact
87,@hagarmohamedmokhtar,,,,,,,,Bio •UN Goodwill Ambassadors• Miss Egypt 2022 🇪🇬 👑• Miss Elegant 2022👸•Owner of @easy_furnituree & @tostadomexicangrill •Tv presenter @hyatvegInstagram Handle  @hagarmohamedmokhtarInstagram Followers  383.7K Get Email Contact
88,@helallii,0.02,0.13,0.57,502,1.07%,430.5k,71.27%,Bio -🚩Mens Fashion & Life style👕-🚩Banker -🚩Dm for business inquiries 🔥-🚩Tiktok Page +250k👇🏼Instagram Handle  @helalliiInstagram Followers  396.9K Get Email Contact
89,@ghofranmuhammad,0.04,0.29,1.25,236,2.06%,435.2k,100.00%,Bio Actress  -  singerInstagram Handle  @ghofranmuhammadInstagram Followers  419.9K Get Email Contact
90,@abdelrhman_mohey,0.80,5.60,24.00,304,1.55%,485.7k,100.00%,Bio 📱TikTok:1.5 Mln+Founder @bosla.eg Managed by @cya_agency 📍Travel…Instagram Handle  @abdelrhman_moheyInstagram Followers  422K Get Email Contact
91,@ahmedelkhawaga1,,,,,,,,Bio Owner of @elkhawagastudio  For reservations: 0106 970000901016966661Instagram Handle  @ahmedelkhawaga1Instagram Followers  429.9K Get Email Contact
92,@dinaa_mourad,0.01,0.09,0.39,584,4.01%,430.1k,133.64%,Bio 𝖡𝗂𝗌𝗆𝗂𝗅𝗅𝖺𝗁 🌿🌿🌿𝗠𝗼𝗱𝗲𝘀𝘁𝘆 𝗶𝘀 𝗮 𝗯𝗿𝗮𝗻𝗰𝗵 𝗼𝗳 𝗳𝗮𝗶𝘁𝗵.🧕🏻Founder @minimabydina Email for business inquiries. 📩Cairo - Egypt 📍Instagram Handle  @dinaa_mouradInstagram Followers  431.3K Get Email Contact
93,@dreenhelmmii,0.05,0.32,1.35,35,0.24%,421k,15.85%,Bio Miss tourism & culture universe egypt international 2018Missosology’s Peoples Choice Award 2019 👑always believe in yourself ☾Instagram Handle  @dreenhelmmiiInstagram Followers  423.6K Get Email Contact
94,@arabianpharaoh,,,,,,,,Bio •CALISTHENICS FOUNDER IN EGYPT🇪🇬• ATHLETE @kosquadegypt• Coach @la7gym •3×NATIONAL CHAMPION OF EGYPT🏆•ESWCF Board Memberلا ابرح حتى أبلغInstagram Handle  @arabianpharaohInstagram Followers  445K Get Email Contact
95,@rehamkhalifaa,0.34,2.40,10.29,408,0.63%,513.8k,42.07%,Bio •Egypt📍Dubai 📍•For Business inquiries ****@gmail.com•For Makeup appointments +201141003316Instagram Handle  @rehamkhalifaaInstagram Followers  480.1K Get Email Contact
96,@nadaa__ali,,,,,,,,Bio 🦋 나다 알리🇪🇬 Egyptian blogger 👸Queen of formal  pants 👱🏻‍♀️•Veterinarian🐶👗•Fashion / travel / lifestyle 📩• Business DMInstagram Handle  @nadaa__aliInstagram Followers  482.7K Get Email Contact
